INFO buildroot.py:488:  Mock Version: 2.9
DEBUG util.py:446:  device-mapper-libs-1.02.175-4.fc35.x86_64
DEBUG util.py:446:  kmod-28-2.fc34.x86_64
DEBUG util.py:446:  kmod-libs-28-2.fc34.x86_64
DEBUG util.py:446:  cryptsetup-libs-2.3.5-2.fc35.x86_64
DEBUG util.py:446:  trousers-lib-0.3.15-3.fc35.x86_64
DEBUG util.py:446:  libpwquality-1.4.4-3.fc35.x86_64
DEBUG util.py:446:  pam-1.5.1-5.fc35.x86_64
DEBUG util.py:446:  util-linux-2.36.2-3.fc35.x86_64
DEBUG util.py:446:  dbus-1.12.20-3.fc34.x86_64
DEBUG util.py:446:  dracut-053-5.fc35.x86_64
DEBUG util.py:446:  systemd-pam-248-2.fc35.x86_64
DEBUG util.py:446:  os-prober-1.77-7.fc34.x86_64
DEBUG util.py:446:  gnutls-3.7.1-2.fc35.x86_64
DEBUG util.py:446:  systemd-248-2.fc35.x86_64
DEBUG util.py:446:  systemd-udev-248-2.fc35.x86_64
DEBUG util.py:446:  dbus-common-1.12.20-3.fc34.noarch
DEBUG util.py:446:  dbus-broker-28-3.fc35.x86_64
DEBUG util.py:446:  trousers-0.3.15-3.fc35.x86_64
DEBUG util.py:446:  binutils-gold-2.36.1-8.fc35.x86_64
DEBUG util.py:446:  binutils-2.36.1-8.fc35.x86_64
DEBUG util.py:446:  lua-srpm-macros-1-4.fc34.noarch
DEBUG util.py:446:  fonts-srpm-macros-2.0.5-5.fc34.noarch
DEBUG util.py:446:  python-srpm-macros-3.9-37.fc35.noarch
DEBUG util.py:446:  redhat-rpm-config-184-1.fc35.noarch
DEBUG util.py:446:  elfutils-0.183-3.fc35.x86_64
DEBUG util.py:446:  gdb-minimal-10.1-18.fc35.x86_64
DEBUG util.py:446:  grub2-common-2.06~rc1-7.fc35.noarch
DEBUG util.py:446:  libgcc-11.1.1-1.fc35.x86_64
DEBUG util.py:446:  grub2-tools-minimal-2.06~rc1-7.fc35.x86_64
DEBUG util.py:446:  shared-mime-info-2.1-2.fc34.x86_64
DEBUG util.py:446:  glib2-2.68.1-2.fc35.x86_64
DEBUG util.py:446:  lua-libs-5.4.3-1.fc35.x86_64
DEBUG util.py:446:  libxcrypt-4.4.20-2.fc35.x86_64
DEBUG util.py:446:  file-libs-5.40-6.fc35.x86_64
DEBUG util.py:446:  file-5.40-6.fc35.x86_64
DEBUG util.py:446:  fedora-release-identity-basic-35-0.7.noarch
DEBUG util.py:446:  libstdc++-11.1.1-1.fc35.x86_64
DEBUG util.py:446:  graphite2-1.3.14-7.fc34.x86_64
DEBUG util.py:446:  unzip-6.0-52.fc35.x86_64
DEBUG util.py:446:  libgomp-11.1.1-1.fc35.x86_64
DEBUG util.py:446:  libcurl-7.76.1-2.fc35.x86_64
DEBUG util.py:446:  curl-7.76.1-2.fc35.x86_64
DEBUG util.py:446:  kbd-misc-2.4.0-4.fc35.noarch
DEBUG util.py:446:  fedora-gpg-keys-35-0.4.noarch
DEBUG util.py:446:  fedora-release-35-0.7.noarch
DEBUG util.py:446:  fedora-release-common-35-0.7.noarch
DEBUG util.py:446:  fedora-repos-rawhide-35-0.4.noarch
DEBUG util.py:446:  fedora-repos-35-0.4.noarch
DEBUG util.py:446:  coreutils-common-8.32-24.fc35.x86_64
DEBUG util.py:446:  coreutils-8.32-24.fc35.x86_64
DEBUG util.py:446:  rpm-libs-4.16.90-0.git15395.5.fc35.x86_64
DEBUG util.py:446:  rpm-4.16.90-0.git15395.5.fc35.x86_64
DEBUG util.py:446:  grub2-tools-2.06~rc1-7.fc35.x86_64
DEBUG util.py:446:  rpm-build-libs-4.16.90-0.git15395.5.fc35.x86_64
DEBUG util.py:446:  libpng-1.6.37-10.fc35.x86_64
